Movie Title,Release Date,Wikipedia URL,Genre,Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ,Revenue
Top Gun 3D,2013-02-08,https://en.wikipedia.org/wiki/Top_Gun,Action,Tony Scott,,Tom Cruise,Kelly McGillis,Val Kilmer,James Tolkan,Tom Skerritt,"$15,000,000.00","$356,800,000.00"
Total Recall,2012-08-03,https://en.wikipedia.org/wiki/Total_Recall_(2012_film),Action,Len Wiseman,,Colin Farrell,Jessica Biel,Bryan Cranston,Kate Beckinsale,Bill Nighy,"$125,000,000.00","$198,500,000.00"
Trance,2013-03-27,https://en.wikipedia.org/wiki/Trance_(2013_film),Crime,Danny Boyle,,James McAvoy,Vincent Cassel,Rosario Dawson,Tuppence Middleton,Lee Nicholas Harris,"$20,000,000.00","$24,300,000.00"
Transcendence,2014-04-10,https://en.wikipedia.org/wiki/Transcendence_(2014_film),Sci-Fi,Wally Pfister,,Johnny Depp,Paul Bettany,Rebecca Hall,Kate Mara,Morgan Freeman,"$100,000,000.00","$103,000,000.00"
Triple 9,2016-02-16,https://en.wikipedia.org/wiki/Triple_9,Crime,John Hillcoat,,Kate Winslet,Woody Harrelson,Gal Gadot,Anthony Mackie,Teresa Palmer,"$20,000,000.00","$23,400,000.00"
Trouble with the Curve,2012-09-21,https://en.wikipedia.org/wiki/Trouble_with_the_Curve,Drama,Robert Lorenz,,Clint Eastwood,Amy Adams,Matthew Lillard,Justin Timberlake,John Goodman,"$60,000,000.00","$49,000,000.00"
Trumbo,2015-09-12,https://en.wikipedia.org/wiki/Trumbo_(2015_film),Drama,Jay Roach,,Bryan Cranston,Diane Lane,Helen Mirren,John Goodman,Elle Fanning,"$15,000,000.00","$8,200,000.00"
Truth,2015-09-12,https://en.wikipedia.org/wiki/Truth_(2015_film),Drama,James Vanderbilt,,Robert Redford,Cate Blanchett,Dennis Quaid,Topher Grace,Elisabeth Moss,"$9,600,000.00","$5,400,000.00"
Turbo,2013-07-17,https://en.wikipedia.org/wiki/Turbo_(film),Comedy,David Soren,,Ryan Reynolds,Paul Giamatti,Michael Peña,Luis Guzmán,Bill Hader,"$127,000,000.00","$282,600,000.00"
Tusk,2014-09-06,https://en.wikipedia.org/wiki/Tusk_(2014_film),Horror,Kevin Smith,,Michael Parks,Justin Long,Haley Joel Osment,Génesis Rodríguez,Johnny Depp,"$3,000,000.00","$1,900,000.00"
Unbroken,2014-11-17,https://en.wikipedia.org/wiki/Unbroken_(film),Drama,Angelina Jolie,,Jack O'Connell,Miyavi,Domhnall Gleeson,Garrett Hedlund,Jai Courtney,"$65,000,000.00","$163,400,000.00"
Unfinished Business,2015-03-06,https://en.wikipedia.org/wiki/Unfinished_Business_(2015_film),Comedy,Ken Scott,,Vince Vaughn,Tom Wilkinson,Dave Franco,Sienna Miller,Nick Frost,"$35,000,000.00","$14,400,000.00"
Unfriended,2014-07-20,https://en.wikipedia.org/wiki/Unfriended,Horror,Levan Gabriadze,,Shelley Hennig,Renee Olstead,Jacob Wysocki,Will Peltz,,"$1,000,000.00","$64,100,000.00"
Vacation,2015-07-29,https://en.wikipedia.org/wiki/Vacation_(2015_film),Adventure,John Francis Daley,Jonathan Goldstein,Ed Helms,Christina Applegate,Leslie Mann,Chris Hemsworth,Charlie Day,"$31,000,000.00","$104,900,000.00"
Vampire Academy,2014-02-07,https://en.wikipedia.org/wiki/Vampire_Academy_(film),Action,Mark Waters,,Zoey Deutch,Lucy Fry,Danila Kozlovsky,,,"$30,000,000.00","$15,400,000.00"
Veronica Mars,2014-03-14,https://en.wikipedia.org/wiki/Veronica_Mars_(film),Mystery,Rob Thomas,,Kristen Bell,Jason Dohring,Krysten Ritter,Ryan Hansen,Francis Capra,"$6,000,000.00","$3,500,000.00"
Victor Frankenstein,2015-11-25,https://en.wikipedia.org/wiki/Victor_Frankenstein_(film),Horror,Paul McGuigan,,Daniel Radcliffe,James McAvoy,Jessica Brown Findlay,Andrew Scott,,"$40,000,000.00","$34,200,000.00"
Wanderlust,2012-02-24,https://en.wikipedia.org/wiki/Wanderlust_(2012_film),Comedy,David Wain,,Paul Rudd,Jennifer Aniston,Malin Akerman,Justin Theroux,Ken Marino,"$35,000,000.00","$24,200,000.00"
War Dogs,2016-08-19,https://en.wikipedia.org/wiki/War_Dogs_(2016_film),Crime,Todd Phillips,,Jonah Hill,Miles Teller,Ana de Armas,J. B. Blanc,,"$40,000,000.00","$42,700,000.00"
War Room,2015-08-28,https://en.wikipedia.org/wiki/War_Room_(film),Drama,Alex Kendrick,,Alex Kendrick,Priscilla Shirer,T.C. Stallings,Beth Moore,Karen Abercrombie,"$3,000,000.00","$73,700,000.00"
Warcraft,2016-06-10,https://en.wikipedia.org/wiki/Warcraft_(film),Action,Duncan Jones,,Ben Foster,Travis Fimmel,Paula Patton,Toby Kebbell,Dominic Cooper,"$160,000,000.00","$433,500,000.00"
Warm Bodies,2013-02-01,https://en.wikipedia.org/wiki/Warm_Bodies_(film),Comedy,Jonathan Levine,,Nicholas Hoult,Teresa Palmer,Rob Corddry,John Malkovich,Analeigh Tipton,"$35,000,000.00","$117,000,000.00"
What Maisie Knew,2013-05-03,https://en.wikipedia.org/wiki/What_Maisie_Knew_(film),Drama,Scott McGehee,David Siegel,Julianne Moore,Steve Coogan,Alexander Skarsgård,Joanna Vanderham,Onata Aprile,"$5,000,000.00","$2,700,000.00"
What to Expect When You're Expecting,2012-05-18,https://en.wikipedia.org/wiki/What_to_Expect_When_You%2527re_Expecting_(film),Comedy,Kirk Jones,,Cameron Diaz,Jennifer Lopez,Brooklyn Decker,Elizabeth Banks,Anna Kendrick,"$40,000,000.00","$84,400,000.00"
When the Game Stands Tall,2014-08-04,https://en.wikipedia.org/wiki/When_the_Game_Stands_Tall,Religious,Thomas Carter,,Jim Caviezel,Laura Dern,Michael Chiklis,Alexander Ludwig,,"$15,000,000.00","$30,100,000.00"
Whiplash,2014-01-16,https://en.wikipedia.org/wiki/Whiplash_(2014_film),Drama,Damien Chazelle,,J. K. Simmons,Miles Teller,Paul Reiser,Melissa Benoist,,"$3,300,000.00","$49,000,000.00"
Whiskey Tango Foxtrot,2016-03-04,https://en.wikipedia.org/wiki/Whiskey_Tango_Foxtrot_(film),Drama,Glenn Ficarra,John Requa,Tina Fey,Margot Robbie,Martin Freeman,Billy Bob Thornton,Alfred Molina,"$35,000,000.00","$24,900,000.00"
White House Down,2013-06-28,https://en.wikipedia.org/wiki/White_House_Down,Action,Roland Emmerich,,Channing Tatum,Jamie Foxx,Maggie Gyllenhaal,James Woods,Richard Jenkins,"$150,000,000.00","$205,000,000.00"
Wild,2014-08-29,https://en.wikipedia.org/wiki/Wild_(2014_film),Drama,Jean-Marc Vallée,,Reese Witherspoon,Gaby Hoffmann,Michiel Huisman,Charles Baker,,"$15,000,000.00","$52,500,000.00"
Winter's Tale,2014-02-13,https://en.wikipedia.org/wiki/Winter%2527s_Tale_(film),Drama,Akiva Goldsman,,Colin Farrell,Russell Crowe,Jessica Brown Findlay,Jennifer Connelly,Will Smith,"$60,000,000.00","$31,100,000.00"
Wish I Was Here,2014-01-18,https://en.wikipedia.org/wiki/Wish_I_Was_Here,Drama,Zach Braff,,Zach Braff,Kate Hudson,Jim Parsons,Mandy Patinkin,Ashley Greene,"$6,000,000.00","$5,500,000.00"
Woman in Gold,2015-04-01,https://en.wikipedia.org/wiki/Woman_in_Gold_(film),Drama,Simon Curtis,,Helen Mirren,Ryan Reynolds,Daniel Brühl,Katie Holmes,Tatiana Maslany,"$11,000,000.00","$61,600,000.00"
Won't Back Down,2012-09-28,https://en.wikipedia.org/wiki/Won%2527t_Back_Down_(film),Drama,Daniel Barnz,,Viola Davis,Maggie Gyllenhaal,Holly Hunter,Ving Rhames,Rosie Perez,"$19,000,000.00","$5,400,000.00"
Woodlawn,2015-10-16,https://en.wikipedia.org/wiki/Woodlawn_(film),Drama,The Erwin Brothers,,Sean Astin,Nic Bishop,Caleb Castille,Sherri Shepherd,Jon Voight,"$13,000,000.00","$14,400,000.00"
World War Z,2013-06-21,https://en.wikipedia.org/wiki/World_War_Z_(film),Action,Marc Forster,,Brad Pitt,Mireille Enos,James Badge Dale,Daniella Kertesz,Matthew Fox,"$190,000,000.00","$540,000,000.00"
Wrath of the Titans,2012-03-30,https://en.wikipedia.org/wiki/Wrath_of_the_Titans,Action,Jonathan Liebesman,,Sam Worthington,Liam Neeson,Ralph Fiennes,Edgar Ramirez,Rosamund Pike,"$150,000,000.00","$305,300,000.00"
X-Men: Apocalypse,2016-05-09,https://en.wikipedia.org/wiki/X-Men:_Apocalypse,Action,Bryan Singer,,James McAvoy,Michael Fassbender,Jennifer Lawrence,Oscar Isaac,Nicholas Hoult,"$178,000,000.00","$544,600,000.00"
X-Men: Days of Future Past,2014-05-10,https://en.wikipedia.org/wiki/X-Men:_Days_of_Future_Past,Action,Bryan Singer,,Hugh Jackman,James McAvoy,Michael Fassbender,Halle Berry,Jennifer Lawrence,"$200,000,000.00","$747,900,000.00"
You're Next,2013-08-23,https://en.wikipedia.org/wiki/You%2527re_Next,Horror,Adam Wingard,,Sharni Vinson,Joe Swanberg,AJ Bowen,Nicholas Tucci,Barbara Crampton,"$1,000,000.00","$26,800,000.00"
Zero Dark Thirty,2012-12-19,https://en.wikipedia.org/wiki/Zero_Dark_Thirty,Drama,Kathryn Bigelow,,Jessica Chastain,Chris Pratt,Joel Edgerton,Kyle Chandler,Jason Clarke,"$40,000,000.00","$132,800,000.00"
Zhong Kui: Snow Girl and the Dark Crystal,2015-02-19,https://en.wikipedia.org/wiki/Zhong_Kui:_Snow_Girl_and_the_Dark_Crystal,Romance,Peter Pau,,Li Bingbing,Chen Kun,Yang Zishan,Winston Chao,Bao Bei'er,"$30,000,000.00","$64,470,000.00"
Zoolander 2,2016-02-12,https://en.wikipedia.org/wiki/Zoolander_2,Comedy,Ben Stiller,,Ben Stiller,Owen Wilson,Christine Taylor,Will Ferrell,Penélope Cruz,"$50,000,000.00","$56,000,000.00"
